our_code,supplier_code,description,pack_size_ea
H100363,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/460ml Little L,500
H100364,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/460ml Little L,500
H100365,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/460ml Little,500
H100366,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/460ml Little L,500
H100367,,Lid Paper FSC Std 97dia for 16oz/460ml Little Liberty A,500
H100368,,Lid Paper FSC Std 97dia for 16oz/460ml Little Liberty H,500
H100369,,Lid Paper FSC Std 97dia for 16oz/460ml Little Liberty M,500
H100370,,Lid Paper FSC Std 97dia for 16oz/460ml Little Liberty P,500
H100373,,Cup Paper FSC SW Hot McCafe 25 4oz,500
H100376,,Lid Paper FSC Stackable 97dia for 400g Raglan Plant Cul,500
H100379,,Lid Paper FSC  Stackable 117dia for 800g Raglan Plant C,500
H100382,,Ctnr Paper FSC  150g RFC Classic Vanilla Bean 25,"1,715"
H100384,,Ctnr Paper FSC 150g RFC Classic Natural 25 R,"1,715"
H100385,,Ctnr Paper FSC 150g RFC Gourmet Dulce de Leche 25,"1,715"
H100386,,Ctnr Paper FSC 150g RFC Gourmet Choc Brownie,"1,715"
H100387,,Cup RPET Cold 520ml 96dia Popeyes,"1,000"
H100388,,Lid Domed RPET 96dia ODL,"1,000"
H100390,,Cup Paper FSC  Hot Dispersion DW 86.5dia 285ml Patagoni,500
H100391,,Cup Paper FSC Hot Dispersion DW 86.5dia 400ml Patagonia,500
H100392,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/472ml Duck Is,500
H100393,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100394,,Ctnr Paper FSC 150g RFC Tri Biotic Vanilla Bean 25 R,"1,715"
H100395,,Ctnr Paper FSC 150g RFC Tri Biotic Super Berries 25 R,"1,715"
H100397,,Lid Domed RPET 96dia,"1,000"
H100402,,Ctnr Paper FSC  PE 16oz 480ml Coles Belgian Chocolate,500
H100403,,Ctnr Paper FSC PE 16oz 480ml Coles Creme Brulee,500
H100404,,Ctnr Paper FSC PE 16oz 480ml Coles Strawberry Parfait,500
H100405,,Lid Paper FSC PE Stackable 97dia Coles Belgian Chocolat,500
H100406,,Lid Paper FSC PE Stackable 97dia Coles Creme Brulee,500
H100407,,Lid Paper FSC PE Stackable 97dia Coles Strawberry Parfa,500
H100408,,Ctnr Paper FSC Ice-cream 36oz/ 1000g WW Vanilla Bean,500
H100409,,Ctnr Paper FSC Ice-cream 36oz/ 1000g WW Triple Chocolat,500
H100410,,Lid Paper FSC PE Stackable 116dia for 1000g WW Vanilla,500
H100411,,Lid Paper FSC PE Stackable 116dia for 1000g WW Triple C,500
H100412,,Ctnr Paper FSC Yoghurt 16oz/400g Raglan Plant Culture S,500
H100413,,Ctnr Paper FSC  Yoghurt 16oz/400g Raglan Plant Culture,500
H100414,,Ctnr Paper FSC Yoghurt 32oz/ 800g Raglan Plant Culture,500
H100415,,Ctnr Paper FSC Yoghurt 32oz/800g Raglan Plant Culture S,500
H100417,,Box Paper FSC Noodle Round Kraft 16oz,500
H100418,,Box Paper FSC Noodle Round Kraft 26oz,500
H100419,,Lid PP  IML 530CP Generic Yoghurt black,840
H100420,,Ctnr Paper FSC 140ml 75dia Appleby Farms,"1,000"
H100421,,Ctnr Paper FSC Yoghurt 16oz/400g Raglan Gourmet Black D,500
H100422,,Ctnr Paper FSC Yoghurt 16oz/400g Raglan Gourmet Dulce d,500
H100423,,Ctnr Paper FSC Yoghurt 16oz/400g Raglan Gourmet Choc Br,500
H100424,,Lid Paper FSC Stackable 97dia for 400g Raglan Gourmet R,500
H100425,,Cup Paper PLA FSC Hot 4oz 120ml Black 50s,"1,000"
H100426,,Tray PP Rectangle 500ml Clear Gilmours,500
H100427,,Tray PP Rectangle 650ml Clear Gilmours,500
H100428,,Tray PP Rectangle 650ml 2-compartment  Clear Gilmours,500
H100430,,Tray PP Rectangle 1000ml Clear Gilmours,500
H100431,,Lid PP Rectangle Clear Gilmours,500
H100434,,Ctnr Paper FSC  150g RFC Kids Vanilla,"1,715"
H100436,,Ctnr Paper FSC 150g RFC Kids Mixed Berry R,"1,715"
H100437,,Ctnr Paper FSC  Dispersion Ice-cream 4oz 76x61x50 Lewis,"1,000"
H100438,,Cup Disp FSC SW (80dia) 280ml 8oz Darfield Bakery,"1,000"
H100440,,Ctnr Paper FSC 140ml 75dia Little Island,"1,000"
H100441,,Box FSC Snack Regular 175x90x84mm Night'n Day,200
H100442,,Cup Disp FSC SW (90dia) 300ml Event Cup,"1,000"
H100443,,Cup Disp FSC SW (90dia) 400ml Event Cup,"1,000"
H100445,,Ctnr Paper FSC  Dispersion Ice-Cream 16oz/472ml Duck Is,500
H100446,,Lid Paper FSC Std 97dia for 16oz/472ml Duck Island Appl,500
H100447,,Ctnr Paper FSC Dispersion Ice-Cream 16oz/472ml Duck Isl,500
H100448,,Lid Paper FSC  Std 97dia for 16oz/472ml Duck Island Pis,500
H100450,,Container Kraft FSC Dispersion Ice-cream 8oz,500
H100451,,Ctnr Kraft FSC Dispersion Ice-Cream 16oz,500
